wage,educ,has_dog,near_publictrans,ed_mother,near_privcollege,is_righthander,iq_score,scholarship,grade_avg,female,talentsup,near_4ycollege,black,ed_father,has_siblings,near_2ycollege,exper,near_parents,lives_in_city
401.25781,4,0,0,10,0,1,78.679428,0,2.8046584,1,1,1,0,4,0,0,27,1,1
222.15611,8,1,0,3,0,1,107.34224,0,3.5552704,0,0,0,0,11,0,0,15,0,0
668.15692,8,0,0,10,1,1,72.002983,1,2.849977,1,0,0,0,11,0,0,48,1,0
32.84779,10,0,0,6,1,1,89.954979,1,2.5556679,1,1,0,0,3,1,0,8,0,0
525.54932,6,0,1,9,0,1,108.47324,0,2.7839761,1,0,0,0,12,1,1,20,0,1
327.77054,4,0,1,4,0,1,90.148628,0,3.0229337,0,0,0,1,8,1,0,11,1,1
129.44847,10,0,0,3,0,1,100.32484,0,2.5640669,1,1,0,0,11,0,0,48,0,0
676.88031,5,0,1,9,0,1,113.35394,0,2.3937485,1,0,0,0,7,1,0,34,0,1
719.10455,8,0,1,12,0,1,79.787857,0,2.8052204,0,0,0,1,6,1,0,8,0,1
2401.1423,4,0,1,10,0,1,100.12892,0,3.1554232,1,0,0,1,5,0,0,60,1,1
65.904739,4,1,1,10,0,1,73.420586,0,2.4167969,1,0,0,0,3,1,1,20,0,1
1230.6978,6,0,1,4,0,1,104.70885,0,2.8636699,0,0,0,0,2,1,1,29,1,1
605.13306,7,0,0,11,0,1,102.3506,0,3.0798392,0,0,0,1,4,1,0,59,1,0
1304.9565,9,0,1,7,0,0,92.414261,0,2.8575957,0,0,1,0,7,1,0,51,0,1
134.18843,7,0,0,8,0,1,80.941589,0,1.9269112,0,0,0,0,1,0,0,20,0,0
5181.8872,9,0,1,9,0,1,113.42361,0,1,0,0,0,0,8,1,0,14,0,1
337.82611,3,1,1,5,0,1,73.173683,0,2.6590176,1,0,0,0,6,1,0,45,0,1
82.521553,4,0,0,3,0,1,100.28242,0,2.8618274,0,0,0,0,12,0,0,42,0,0
2916.9722,7,1,1,6,1,1,117.93513,0,3.194047,0,0,0,1,6,1,1,55,1,1
54.688934,3,0,1,5,0,1,114.68051,0,2.9062541,0,0,0,1,6,1,0,19,0,1
160.56447,5,0,0,7,0,1,96.371124,0,1,1,0,0,0,3,0,0,31,0,0
70.961655,4,0,0,3,0,1,71.71257,0,1.3255495,0,0,0,0,8,0,0,44,0,0
226.82698,10,1,1,4,0,1,79.425545,0,4.8708959,0,0,0,0,10,1,0,14,1,1
244.14578,4,0,1,2,0,1,79.130028,1,4.0281553,1,0,0,0,6,1,0,48,0,1
877.48926,10,0,0,11,1,1,103.1229,0,1.254104,0,0,0,0,12,1,1,54,1,0
548.8869,4,1,1,10,0,1,84.090256,0,1.752021,1,0,0,0,7,1,0,19,1,1
20021.465,9,1,0,9,1,1,81.006577,0,1.9516891,0,0,0,1,3,1,0,11,1,1
957.99493,4,0,0,2,0,1,102.95959,0,3.2699244,0,0,0,0,9,1,0,40,1,0
19789.686,4,0,0,5,0,1,113.31565,0,1.4873195,0,0,0,0,9,0,0,60,1,0
544.96777,7,1,0,9,0,1,109.46467,0,1.7685508,0,0,0,1,8,1,0,56,1,0
916.52893,6,0,1,11,0,1,99.996094,0,3.2248917,1,0,0,0,9,0,0,41,1,1
299.73889,2,0,0,1,0,1,78.231171,0,2.7190478,0,0,0,1,2,1,0,47,0,1
161.89865,6,0,0,1,0,1,109.46493,0,2.7513602,1,0,0,0,8,1,0,24,0,1
1882.8058,10,0,1,9,0,1,94.24588,0,2.9470727,1,0,0,1,7,0,0,46,1,1
18404.24,5,0,0,9,0,1,110.71025,1,2.2314897,1,0,0,0,4,0,0,34,0,1
642.4729,2,1,1,1,1,1,103.37605,0,3.2918158,0,0,0,1,4,1,1,14,0,1
799.08813,5,1,1,3,1,1,78.309814,0,1.9118299,1,0,0,0,8,1,0,50,1,1
445.43765,4,1,1,10,0,1,107.06165,0,2.0249496,1,0,0,0,3,0,0,20,0,1
25779.824,10,0,0,2,0,0,104.27731,0,2.5253472,0,0,0,0,8,0,1,8,0,1
248.29851,10,0,1,4,0,0,108.39882,0,1.7816607,1,0,0,1,11,1,0,26,1,1
1315.5482,8,0,1,10,0,0,77.14138,1,2.3480003,1,0,0,0,8,1,1,39,1,1
829.79083,6,0,1,11,0,1,109.97785,0,2.8909922,1,0,0,0,5,1,0,32,0,1
16666.822,11,0,0,11,0,1,116.39201,0,4.562325,0,0,0,0,10,1,0,14,0,0
6574.624,10,0,1,6,1,1,91.018738,0,4.7152014,0,0,0,0,4,0,1,33,0,1
5587.4233,11,1,1,11,1,1,95.48613,0,3.5890846,0,1,0,0,10,1,0,43,0,1
1312.9459,7,0,1,2,0,0,102.68053,0,4.0209212,1,0,1,0,8,1,0,25,0,1
268.36499,7,0,1,9,1,1,91.44352,0,3.5516179,0,0,0,1,7,0,0,11,1,1
2924.4021,7,0,0,4,0,1,80.407021,0,1.8234092,0,0,0,1,2,0,0,52,1,0
615.3161,8,0,0,7,0,1,78.778023,1,3.3270006,0,0,0,0,4,1,1,35,1,1
126.10085,7,1,1,6,0,1,101.19563,0,1.7771505,0,0,0,0,3,1,0,25,0,1
394.69824,7,0,0,4,0,1,114.29012,0,2.4439394,0,0,0,0,9,0,0,25,1,0
893.46582,8,1,1,4,0,0,107.80508,0,1.5931698,0,0,0,0,5,1,1,50,0,1
42.926491,9,1,1,10,0,1,86.201576,0,2.9179657,0,0,0,0,5,1,0,10,0,1
2213.6389,7,0,1,4,0,1,90.459236,0,3.7581191,1,0,0,0,3,1,0,14,1,1
5016.0376,5,0,0,8,0,1,110.69463,0,3.1758807,0,0,0,0,10,0,0,46,0,1
231.99438,9,0,0,9,0,0,85.663734,0,3.3859782,0,0,0,0,6,1,1,41,0,0
987.77502,9,1,0,10,0,1,102.27756,1,2.7095125,1,0,1,0,4,0,0,54,1,0
1329.5417,7,1,1,10,0,1,100.1526,0,2.6964188,0,0,0,0,2,1,0,39,0,1
5642.1709,9,1,1,3,0,1,85.007072,0,3.3225858,1,0,0,0,5,0,0,19,1,1
160.37575,5,1,1,5,0,1,105.93188,0,1.6966792,0,0,0,0,7,0,0,56,1,1
528.28625,6,1,1,5,1,0,107.8252,0,3.0901132,0,0,1,1,6,0,0,55,0,1
1013.3179,4,0,1,1,0,1,108.51195,0,2.7527208,0,0,0,1,7,1,0,31,0,1
5131.792,11,1,0,12,0,1,76.53994,0,3.258548,0,0,0,0,10,1,0,11,1,0
1802.6544,6,1,0,6,0,1,91.915222,0,2.0284083,1,0,0,0,6,1,0,53,0,0
4238.3433,5,1,1,9,0,1,110.3951,0,3.0504539,0,1,0,0,4,0,0,43,0,1
2413.3044,6,0,0,2,0,1,113.85583,0,2.3525286,1,0,0,0,3,0,1,33,0,0
20879.701,9,0,1,6,0,1,117.25768,0,3.5655122,1,0,0,0,6,0,0,32,0,1
658.71228,3,1,0,4,0,0,106.47202,0,3.2909324,0,0,0,0,4,0,1,60,0,1
1616.3253,6,0,1,12,1,1,81.681664,1,2.7350719,1,0,0,0,6,1,0,34,1,1
2645.9998,10,1,1,2,1,1,108.47594,0,2.6084309,0,0,0,1,6,1,0,24,1,1
2914.0715,7,1,1,2,0,1,84.678123,0,2.5631077,1,0,0,0,1,1,0,38,1,1
47.967037,5,0,0,8,0,0,75.812508,0,2.3840563,1,0,0,1,6,0,0,13,0,0
3349.3547,7,0,1,2,0,1,118.06136,0,2.8544474,0,0,0,0,9,0,1,18,0,1
1442.5125,7,0,0,12,0,0,111.08724,0,1,0,0,0,1,1,1,1,49,0,0
796.62512,6,0,1,8,0,0,82.937035,1,3.0020795,0,0,0,0,7,0,0,11,0,1
3881.2256,10,0,1,3,0,1,116.74099,0,3.587069,0,0,1,0,11,1,0,35,1,1
684.02972,10,1,1,6,0,0,82.064407,0,2.7871509,0,0,0,0,9,1,0,14,1,1
445.55045,6,0,0,7,0,1,72.816147,0,2.6618738,1,1,0,1,6,0,1,54,0,0
1830.5194,7,0,0,6,0,1,116.31983,0,2.8207862,0,0,0,0,2,0,1,31,1,0
189.81931,5,0,1,9,0,1,112.91452,0,4.2436819,0,0,0,0,3,1,1,60,1,1
782.33972,8,0,1,11,0,0,82.313354,0,2.2295716,0,0,0,0,1,0,0,48,0,1
217.39459,4,0,0,1,0,1,113.6471,0,1.8968858,1,0,0,0,9,1,0,37,0,0
181.75099,10,0,1,11,0,1,97.038872,0,1.6667119,0,0,1,1,9,1,0,9,0,1
24.185329,8,0,1,7,0,1,91.659859,0,1.7767869,0,0,0,0,2,1,0,38,0,1
10677.376,6,1,0,8,0,0,79.051064,0,2.2636766,1,0,0,0,2,1,0,17,0,0
115.29758,5,0,0,3,0,1,100.91698,0,2.1193929,0,0,0,0,8,0,0,16,0,0
60.757286,4,0,1,6,0,1,74.801064,0,3.9050896,1,0,0,1,4,1,0,15,1,1
3401.8948,5,0,1,1,1,0,106.64293,0,3.1610088,1,0,0,0,7,1,1,27,0,1
7119.3774,10,1,0,9,0,1,111.70824,0,2.1128447,0,0,0,1,5,1,0,46,1,0
529.37946,9,0,0,5,0,1,74.816826,0,3.292758,1,0,0,0,5,1,1,41,0,0
153.25482,4,0,0,6,0,1,90.641617,0,3.8004553,0,0,0,0,7,1,0,56,0,0
10995.963,9,0,1,2,0,0,111.03526,0,2.5044739,1,0,0,0,10,0,0,37,1,1
122.05399,7,0,0,3,0,0,77.795898,0,3.5034914,0,0,0,0,4,1,0,45,1,0
5424.6323,11,1,1,8,0,1,114.72815,0,2.6781142,0,0,0,0,11,1,0,46,0,1
130.78154,3,0,1,3,0,1,92.077904,0,3.6125157,1,0,0,0,6,0,0,16,0,1
498.75348,6,0,1,4,1,1,86.841339,0,3.499831,0,0,0,0,6,1,0,24,0,1
814.59454,4,1,0,2,0,1,101.97276,0,1.5248697,1,0,0,0,9,1,0,40,1,1
38023.129,8,1,1,1,0,0,118.84741,0,3.4814475,0,1,0,0,2,1,0,34,1,1
1662.9558,6,0,1,7,0,1,97.371407,0,1.7215185,1,0,0,0,7,1,0,19,1,1
595.25116,2,0,0,6,0,0,88.664841,0,2.5957203,0,0,1,0,2,0,0,47,0,0
625.42584,5,0,1,10,0,1,107.39779,0,3.383307,1,0,1,0,9,1,1,25,1,1
8372.2588,4,1,1,3,1,1,113.01879,0,2.898809,1,0,0,0,7,1,0,43,0,1
1730.9657,7,0,0,10,0,1,90.277489,1,3.5187995,1,0,0,0,4,1,0,16,0,1
2640.8308,7,0,1,5,0,0,78.123108,0,2.7533889,0,0,0,0,5,1,0,56,1,1
4312.8794,5,1,0,10,0,0,77.139374,0,4.1788745,0,0,0,0,3,0,0,19,1,1
4542.6333,5,0,0,6,0,0,119.50426,1,2.4808638,0,1,0,1,2,1,0,26,0,0
1458.2264,7,1,1,6,1,1,99.505753,0,2.792546,0,0,0,0,3,0,0,50,0,1
34.313496,10,1,1,12,0,1,71.694649,0,2.6956828,0,0,0,0,11,0,0,7,1,1
1977.2188,8,1,1,1,0,0,78.656662,0,2.8503451,0,0,0,0,7,1,0,19,1,1
147.13632,8,0,0,9,0,1,78.904976,0,3.0675492,1,1,0,0,5,1,0,12,0,0
821.38629,5,0,1,8,0,1,75.418709,0,2.7573848,1,0,0,0,9,0,0,54,1,1
590.41577,7,0,1,4,0,0,112.01221,0,1,0,0,1,1,6,0,1,22,0,1
2229.7202,11,0,0,8,0,1,85.075417,0,2.801348,0,1,0,1,6,1,1,41,0,1
3935.6797,6,1,0,3,0,1,102.86079,0,3.0574183,1,0,0,0,8,1,0,12,1,0
979.91223,7,0,0,10,0,1,71.574776,0,2.7238045,0,0,0,0,7,1,1,35,1,0
9067.7861,6,0,1,10,0,1,100.82785,0,2.5972309,0,0,0,0,12,0,0,28,1,1
993.74164,7,0,1,2,0,1,117.75626,0,3.3800385,0,0,0,0,12,1,1,15,0,1
79.341095,5,0,1,9,0,1,72.978218,0,1.1863452,0,0,0,1,6,0,0,18,1,1
780.12842,9,0,1,10,0,1,82.876007,0,2.4557397,0,0,0,1,9,0,0,32,0,1
1958.2827,9,1,1,7,0,0,94.414131,0,1.839152,1,0,0,0,8,0,0,44,1,1
581.19806,9,0,0,7,1,1,100.84753,1,1.484901,1,0,0,1,5,1,0,13,0,0
304.35501,7,0,1,7,0,1,81.080803,0,2.3583601,0,0,0,1,1,0,0,14,1,1
20248.615,7,0,0,10,0,1,96.773727,0,2.3003759,0,0,0,0,8,0,0,39,1,0
526.96893,10,1,0,6,0,1,72.2948,1,3.1243234,0,1,0,0,11,1,0,54,1,0
1719.3455,6,0,1,8,0,1,83.455002,0,1.9486006,0,0,0,0,5,1,0,30,1,1
754.78864,6,0,1,3,0,1,95.768555,0,3.6498013,0,0,0,0,2,1,0,39,0,1
422.01959,10,0,1,2,0,1,95.774216,0,2.4337935,0,0,0,0,11,0,0,34,1,1
6749.9829,11,0,1,5,0,0,95.418922,1,1.7475899,0,0,0,1,10,1,1,53,0,1
265.16534,4,1,1,3,0,1,78.760376,0,3.3872964,1,0,0,0,7,1,0,23,0,1
200.59377,5,0,1,3,1,0,104.29707,0,3.9655895,0,0,0,0,6,0,0,41,1,1
195.29872,4,0,1,11,0,1,105.17418,0,1.4776268,1,0,1,0,6,1,0,48,1,1
1554.2242,6,0,1,9,1,0,101.7007,0,1.8154403,0,0,0,0,7,1,0,11,0,1
3676.4854,6,1,0,3,0,1,95.406036,0,2.6458087,1,0,1,0,3,1,0,36,0,0
1979.6533,10,0,0,6,0,1,82.503929,1,3.1261625,0,0,1,0,11,1,1,50,0,1
72.187317,4,0,0,5,0,1,83.967453,0,2.0696108,1,0,0,1,6,1,0,42,1,0
1658.6532,7,0,1,2,0,1,80.016045,0,1.0355276,0,0,0,1,9,0,0,45,1,1
654.02081,6,0,0,11,0,1,116.75325,0,2.544178,0,1,0,1,3,1,0,10,0,0
1896.8669,4,0,1,1,0,0,107.8083,0,1.2473437,0,0,0,0,9,1,0,22,1,1
6458.4141,9,0,1,7,0,1,99.951393,0,2.0835092,1,0,0,0,5,1,0,20,1,1
277.2207,3,0,1,6,0,1,75.376694,0,3.2405131,0,0,1,0,4,1,0,53,1,1
607.23566,8,0,1,5,1,0,99.427277,0,3.5031409,1,0,0,1,9,1,0,51,1,1
34190.23,12,1,0,2,0,1,109.66128,1,2.6224582,1,1,0,0,12,0,0,43,1,1
2178.3057,4,1,1,10,1,1,81.503357,0,3.6744668,0,0,0,0,1,1,0,30,1,1
42223.91,6,1,0,2,0,1,118.85229,1,2.1508536,1,1,0,0,1,1,0,39,1,0
2253.3303,8,0,0,5,0,0,92.839264,0,3.623261,0,0,0,0,4,0,1,15,1,0
320.51382,9,1,1,9,0,1,93.989822,0,2.6513765,1,0,0,0,11,0,0,5,1,1
1649.0054,8,0,0,10,1,1,93.849327,0,1.6464014,0,0,0,0,12,1,0,17,1,0
1897.8157,5,1,0,4,0,1,72.156212,0,1.4388752,0,0,0,0,6,1,0,36,0,1
633.16718,8,0,1,11,0,1,82.483818,1,3.6385882,0,0,0,0,2,0,0,11,0,1
1478.9609,6,0,0,6,1,1,82.831589,0,2.7316854,1,0,0,0,1,0,1,48,1,0
2102.5618,6,0,0,4,0,1,96.311424,0,3.9699614,1,0,0,1,9,0,0,59,1,0
457.0025,6,1,1,3,1,1,78.219109,0,2.0504665,0,0,0,0,2,1,1,19,0,1
1817.6781,8,0,1,11,0,1,89.030571,0,2.5998504,0,0,0,0,3,0,0,29,1,1
958.52881,5,1,0,3,0,1,108.64357,0,2.3831224,1,0,0,0,10,1,0,47,1,0
475.10373,6,1,1,12,0,1,113.66936,0,3.2471683,1,0,1,0,7,0,0,33,0,1
2375.085,8,0,1,7,0,1,105.85979,0,2.406848,0,0,0,0,9,1,0,21,1,1
80.369736,4,0,0,7,0,0,99.237038,0,3.7165806,0,0,0,1,8,1,0,60,0,0
1083.7089,7,0,0,2,0,0,101.05279,0,2.3755021,0,0,0,1,2,1,0,9,1,0
1039.2086,11,0,1,11,0,1,88.838646,0,2.8657005,0,0,0,0,10,1,0,28,1,1
322.87827,4,0,1,3,1,1,99.9589,1,2.6819444,0,0,1,0,4,0,0,25,1,1
1082.0135,5,1,1,2,0,1,81.213409,0,2.6598465,1,0,0,0,2,1,0,16,0,1
1967.231,4,1,1,9,1,0,108.33119,0,1.4238665,1,0,0,0,9,1,1,41,1,1
495.7868,9,0,0,9,0,0,71.316002,0,1.8953184,1,0,0,0,11,0,0,38,0,0
55.80368,7,0,0,2,0,1,71.348137,0,3.209182,1,0,0,0,10,1,0,43,0,0
1513.8358,4,1,1,6,0,0,109.83919,0,2.0724127,0,0,0,0,7,1,0,57,0,1
8449.7402,7,1,0,7,0,1,116.92914,1,2.8659317,1,0,0,0,8,0,0,13,0,1
1563.1552,9,0,1,2,0,1,118.75184,0,4.7753105,0,0,0,0,10,0,0,24,0,1
186.51413,5,0,1,10,0,1,119.55377,0,1.0056559,0,0,0,0,8,0,0,42,0,1
51.879478,4,0,1,8,0,1,94.19381,0,4.1937537,0,0,0,0,5,1,0,55,0,1
5239.1431,10,1,1,11,0,1,108.80348,0,2.3256495,1,0,0,0,6,1,0,48,0,1
2753.7649,11,0,0,2,1,1,80.76606,0,1.1822938,0,0,0,0,12,0,0,23,0,0
255.54184,9,0,0,11,0,0,74.253113,0,2.5380228,1,0,1,1,2,0,0,41,1,0
41545.008,9,0,1,4,0,1,102.25476,0,2.4013999,1,0,0,1,10,1,0,49,1,1
2435.1404,9,0,1,7,1,1,92.044128,0,2.1231627,1,1,0,0,10,1,0,31,0,1
2636.0591,10,0,1,5,0,1,107.9268,0,2.757216,1,0,0,0,10,1,0,17,1,1
114.37347,7,0,1,7,0,1,98.859116,0,1.3010504,0,0,0,1,7,1,0,49,0,1
10975.418,8,0,1,9,0,1,106.8927,0,3.4778697,0,0,0,1,11,1,1,26,1,1
262.52078,5,1,0,7,0,1,76.211967,0,3.1937487,1,0,0,0,8,0,0,43,1,0
128.96078,6,0,0,11,0,1,89.649063,0,4.1144862,1,0,0,0,2,0,0,10,0,0
98.486534,5,0,1,4,0,1,105.99356,0,2.0894256,1,0,1,0,1,1,0,23,0,1
193.71356,9,0,1,10,0,1,76.195778,0,3.1156847,1,0,0,0,8,1,0,27,1,1
139.10115,4,1,1,3,0,1,86.499382,0,3.0426288,1,0,0,1,12,0,0,56,0,1
2178.5278,10,0,1,11,0,1,117.18119,1,2.08342,0,0,0,1,12,0,0,40,0,1
1341.5051,4,0,1,10,0,1,85.196014,0,3.1466782,0,0,0,0,2,1,0,33,1,1
1249.6118,10,0,0,8,0,0,118.74335,0,1.9892339,0,0,0,0,6,1,0,35,0,0
42.548973,5,1,1,5,0,1,102.87182,0,3.1704602,1,0,0,0,9,1,0,12,1,1
2558.1096,7,1,1,5,0,1,86.315712,0,3.0562022,1,0,0,0,9,1,0,19,1,1
3515.2354,9,0,0,3,0,1,113.82838,0,3.4616358,0,0,0,1,10,1,1,47,1,0
66.49984,10,0,1,9,1,1,73.708145,1,2.8843138,0,0,0,0,9,1,0,14,0,1
2287.3162,7,1,1,8,1,1,108.04763,1,2.8093591,0,0,1,0,7,1,0,10,0,1
222.24242,7,0,1,5,0,1,93.26326,0,3.2351348,1,0,1,0,11,0,0,58,0,1
4753.9492,8,1,0,10,1,1,80.251411,0,1.8128456,0,0,0,0,4,1,0,22,0,0
1446.8588,11,0,1,9,0,0,89.213188,1,2.1393273,0,0,0,1,7,1,1,44,1,1
327.32138,10,0,1,7,0,1,82.727852,0,1.7616407,1,0,0,1,8,1,1,56,0,1
315.76566,5,0,1,4,0,1,97.780273,0,2.2321906,1,0,0,0,9,0,0,24,0,1
2737.0588,8,0,1,3,0,1,101.8004,1,1,0,1,0,0,12,1,0,32,0,1
69.973488,4,0,1,3,1,0,99.195,0,3.0581851,1,0,0,0,3,1,0,41,1,1
149.92519,6,0,0,6,0,1,74.740059,0,1.5110621,1,0,0,0,4,0,0,28,0,1
158.68987,10,0,1,6,1,1,92.352394,0,3.7040284,0,1,0,0,11,1,0,17,1,1
2318.0293,9,0,1,2,0,1,106.22322,1,1.9466268,1,0,0,1,4,0,1,19,0,1
3630.0784,6,0,1,5,0,1,83.403709,0,3.4550261,0,0,0,1,7,1,0,56,0,1
4828.1885,7,0,1,1,1,1,113.39477,0,1,1,0,0,0,1,1,0,33,1,1
11723.385,7,0,1,6,0,0,88.77961,1,2.3163602,1,0,0,1,2,0,0,10,1,1
48.943085,8,0,1,6,0,1,73.136238,0,1,0,0,0,0,10,0,0,13,1,1
337.92746,7,0,1,5,0,1,70.662216,0,2.6217396,0,0,0,1,4,0,0,50,0,1
1850.692,9,0,1,6,0,0,92.288826,0,2.8982401,0,0,1,1,4,0,0,17,0,1
7083.9844,7,0,0,8,0,1,97.576622,0,4.2366705,0,0,0,1,7,0,0,28,1,0
164.59363,10,1,0,10,0,1,86.792206,0,2.7318876,1,0,0,0,5,0,1,15,0,0
1123.6525,7,1,1,6,0,1,93.895866,0,2.0921783,1,0,0,1,3,0,0,33,0,1
61.314816,8,0,1,12,0,1,78.126785,0,2.2267194,1,0,0,1,7,1,0,29,0,1
14.029422,3,0,0,4,0,0,118.05421,0,1.8247544,0,0,0,0,3,1,0,13,1,0
179.54808,5,0,0,10,1,1,79.846107,0,1.5928843,1,0,1,1,9,1,0,38,1,1
556.71228,6,0,1,10,0,1,117.40175,0,1.3334521,1,0,0,0,5,0,0,22,1,1
143.65273,7,0,0,12,0,1,98.347572,0,3.1857576,1,0,0,1,7,0,1,17,0,1
47.987,3,0,1,5,0,1,93.425957,0,3.8654814,1,0,0,0,4,0,0,57,1,1
113.13307,7,0,1,2,0,1,71.05085,0,2.6629665,0,1,0,0,2,0,0,22,1,1
327.76138,7,0,1,6,0,1,102.2541,0,2.8759301,1,0,1,0,6,0,0,21,0,1
137.35385,9,0,0,7,1,1,88.772736,0,1.7307271,0,0,0,0,3,1,0,44,0,0
353.53574,11,0,0,10,1,1,86.709518,0,2.5755477,1,0,0,1,11,0,0,45,0,0
185.81097,10,1,1,5,0,1,78.989471,0,2.3496511,0,0,0,1,9,1,0,27,0,1
1617.5685,5,0,1,6,0,0,72.019936,0,2.7436264,1,0,0,0,4,1,0,34,0,1
1397.4286,10,0,1,4,0,1,97.150986,1,3.0438738,0,1,0,0,6,1,1,22,0,1
1488.4838,11,0,1,9,0,1,85.848465,0,2.7267663,0,0,0,0,10,1,0,10,0,1
257.85065,9,0,1,6,0,1,109.16373,0,3.0361555,0,0,0,0,6,0,0,50,0,1
315.69498,6,1,0,8,0,1,118.76669,1,2.5064721,0,0,0,1,4,1,0,37,0,0
3986.0632,6,0,1,12,0,1,118.49953,1,1.3073444,0,0,0,0,10,1,0,12,0,1
198.21451,4,1,0,8,0,1,80.488113,0,2.3567202,1,0,0,0,7,1,0,15,0,0
389.00082,7,1,0,9,0,1,74.051727,0,1.8465286,1,1,0,0,12,1,0,57,0,0
4331.6523,3,0,1,9,0,1,75.603432,0,3.0093589,0,0,0,1,4,1,0,59,0,1
3991.7681,8,1,0,6,0,1,105.76488,0,2.1235251,0,0,0,0,1,1,0,29,1,0
3726.8489,5,0,1,4,0,1,109.18706,1,1.1715571,0,0,0,1,2,0,0,47,1,1
504.54779,7,0,0,1,0,1,117.82638,0,3.6956944,0,0,1,0,9,1,0,56,0,0
7133.8164,9,0,0,10,0,1,98.048882,0,3.454381,0,0,0,1,11,0,1,35,1,0
29.450146,4,0,0,7,0,1,71.242226,0,4.1288962,0,0,0,1,10,0,0,48,1,0
6104.2529,5,0,0,2,1,1,92.875313,1,1.5710106,0,0,0,1,1,1,0,22,0,0
1205.7635,4,0,0,4,0,1,102.40743,0,2.0682545,0,0,0,0,7,0,1,52,0,1
2809.7708,4,1,1,4,0,1,105.09902,0,3.1223683,1,0,0,0,10,1,0,20,0,1
391.75629,9,0,1,8,0,1,84.74263,1,3.5384686,0,0,1,0,2,1,1,27,0,1
661.71527,6,0,1,7,0,0,93.616226,0,2.8788211,0,0,0,0,2,1,0,58,0,1
401.03818,8,0,1,8,0,1,103.87017,0,3.2963085,1,0,0,0,12,1,0,52,1,1
269.08026,9,0,0,1,0,1,103.66859,0,1.6459035,0,0,0,0,7,1,0,27,1,1
311.56296,3,1,0,6,0,1,99.558617,0,4.1506295,1,0,0,0,2,0,1,37,0,0
594.45917,7,0,1,7,0,1,79.013641,0,3.581857,1,0,0,0,5,1,1,28,0,1
702.63287,4,1,0,8,0,1,101.2128,0,2.4336793,0,0,0,1,7,0,0,52,1,0
1796.1046,5,0,1,6,0,0,117.58035,0,1.9627128,0,0,0,0,9,1,1,44,0,1
8495.7158,10,0,1,6,0,1,100.20895,0,2.7368679,0,1,0,0,8,1,1,23,1,1
